processing_date,main_category,isbn13_count,main_category_rank_min,main_category_rank_max,main_category_rank_mean,price_mean,price_median,rating_mean,rating_min,rating_max,review_count_sum
20250118,Classic Books,30,1,30,15.5,6.79,5.0,4.77,4.5,4.9,483536
20250118,Comics and Graphic Novels,30,1,30,15.5,6.62,5.0,4.74,4.4,4.9,448761
20250118,Educational Books,30,1,30,15.5,5.33,4.99,4.7,4.3,4.9,176913
20250118,Reference Books,30,1,30,15.5,8.53,7.22,4.67,4.3,4.9,61236
20250118,"Science, Nature & How It Works",30,1,30,15.5,6.32,5.0,4.73,4.3,4.9,101930
20250118,Sport and Outdoors,30,1,30,15.5,6.46,6.99,4.67,4.3,4.9,31823
20250118,"TV, Movie & Video Game Adaptations",29,1,30,15.14,5.13,4.99,4.67,3.9,5.0,39988
20250118,Teen and Young Adult,30,1,30,15.5,13.06,11.37,4.53,3.9,5.0,1754191
